appID,platform,name,releaseDate,developer,genre,retailPrice,recommendationCount
1966720,Windows,Lethal Company,10/23/23,Zeekerss,Action,999,256740
582010,Windows,Monster Hunter: World,8/8/18,"CAPCOM Co. Ltd.",Action,2999,255690
1086940,Windows,Baldur's Gate 3,8/3/23,Larian Studios,Adventure,5999,494095
